[2019-06-08 16:35:23,912]-[INFO]-CommuServer(397)日志配置设置成功!
[2019-06-08 16:35:24,263]-[INFO]-CommuServer(406)成功解析配置文件：CommuConfig.xml
[2019-06-08 16:35:24,309]-[INFO]-CommuServer(496)日志备份
[2019-06-08 16:35:24,309]-[INFO]-CommuServer(413)成功初始化socket配置!
[2019-06-08 16:35:24,313]-[INFO]-CommuServer(417)成功初始化客流配置!
[2019-06-08 16:35:24,315]-[INFO]-CommuServer(421)成功初始化线程监控配置!
[2019-06-08 16:35:24,315]-[INFO]-CommuServer(425)成功初始化初始化参数下发配置!
[2019-06-08 16:35:24,316]-[INFO]-CommuServer(429)成功初始化应用相关配置!
[2019-06-08 16:35:24,316]-[INFO]-CommuServer(697)FtpLocalDir:D:/ftpClient/ACCCommu/receive
[2019-06-08 16:35:24,328]-[INFO]-CommuServer(710)BusFtpLocalDir:D:/ftpClient/ACCCommu/import
[2019-06-08 16:35:24,330]-[INFO]-CommuServer(433)成功初始化FTP配置!
[2019-06-08 16:35:25,104]-[INFO]-CommuServer(875)运营库连接池OpConnectionPool创建!
[2019-06-08 16:35:25,104]-[INFO]-CommuServer(887)通讯库连接池CmConnectionPool创建!
[2019-06-08 16:35:25,105]-[INFO]-CommuServer(897)票务库连接池TkConnectionPool创建!
[2019-06-08 16:35:25,105]-[INFO]-CommuServer(443)成功初始化数据库连接池!
[2019-06-08 16:35:25,105]-[INFO]-CommuServer(447)成功初始化线程池配置!
[2019-06-08 16:35:25,109]-[INFO]-CommuServer(451)成功初始化socket配置!
[2019-06-08 16:35:25,140]-[INFO]-CommuServer(455)成功初始化设备参数版本查询配置!
[2019-06-08 16:35:25,141]-[INFO]-CommuServer(459)成功初始化参数自动下发配置!
[2019-06-08 16:35:25,141]-[INFO]-CommuServer(463)成功初始化启动选项控制!
[2019-06-08 16:35:25,141]-[INFO]-CommuServer(468)成功初始化FTP路径!
[2019-06-08 16:35:27,478]-[INFO]-CommuServer(927)运营时间:0205
[2019-06-08 16:35:27,765]-[INFO]-CommuServer(959)缺省消息最大处理时间60
[2019-06-08 16:35:27,819]-[INFO]-CommuServer(963)转存线程池状态表数据，共:1记录
[2019-06-08 16:35:27,856]-[INFO]-CommuServer(87)参数下发监听已启动 ...
[2019-06-08 16:35:27,887]-[INFO]-CommuThreadManager(43)3个处理线程已启动!
[2019-06-08 16:35:27,907]-[INFO]-CommuServer(383)缓存清理线程已启动 !
[2019-06-08 16:35:27,908]-[INFO]-CommuBufferClearThread(89)进站缓存清理开始...
[2019-06-08 16:35:27,931]-[INFO]-CommuServer(370)消息队列管理线程已启动!
[2019-06-08 16:35:27,935]-[INFO]-CommuBufferClearThread(96)出站缓存清理开始...
[2019-06-08 16:35:27,936]-[INFO]-CommuConnectionPoolListener(78)TK票务库连接池监听线程已启动...
[2019-06-08 16:35:27,936]-[INFO]-CommuConnectionPoolListener(78)OP运营库连接池监听线程已启动...
[2019-06-08 16:35:27,936]-[INFO]-CommuConnectionPoolListener(78)CM通讯库连接池监听线程已启动...
[2019-06-08 16:35:27,935]-[INFO]-CommuServer(108)连接池监听正在启动 ...
[2019-06-08 16:35:27,945]-[INFO]-CommuServer(113)日志级别监听已启动 ...
[2019-06-08 16:35:27,966]-[INFO]-CommuServer(117)设备参数版本查询线程已启动 ...
[2019-06-08 16:35:27,968]-[INFO]-CommuServer(376)线程池监控已启动 !
[2019-06-08 16:35:27,968]-[INFO]-CommuThreadPoolMonitor(40)线程池监听线程已启动...
[2019-06-08 16:35:28,032]-[INFO]-CommuServer(124)票务接口线程已启动 ...
[2019-06-08 16:35:28,046]-[INFO]-CommuServer(127)一卡通接口线程已启动 ...
[2019-06-08 16:35:28,047]-[INFO]-BusDataImportThread(44)------------------------与一卡通中心文件交互执行begin-------------------------
[2019-06-08 16:35:28,048]-[INFO]-CommuServer(134)TCC接口线程已启动 ...
[2019-06-08 16:35:28,075]-[INFO]-CommuServer(138)定时刷新缓存变量线程已启动 ...
[2019-06-08 16:35:28,111]-[INFO]-CommuServer(994)服务器正常启动！正在监听端口 : 5001
[2019-06-08 16:35:34,855]-[INFO]-CommuServer(1004)接受新的连接请求，来自 172.20.16.30:4147
[2019-06-08 16:35:34,855]-[INFO]-CommuServer(1013)开始处理新连接!
[2019-06-08 16:35:34,929]-[INFO]-ConnectionReaderNormal(113)读取到的终端消息长度:1844
